"iteration","source","n_estimators","learning_rate","gamma","reg_alpha","reg_lambda","subsample","max_depth","mcs","dsp"
0,1,128,-1,0.05,0,0.903089986991944,0.505,8,0.214,0.2546
0,1,86,-0.368298637080814,0.0346614320863683,2.88348344328537,1.12621564405801,0.566158735491718,13,0.4606,0
0,1,209,-0.126640112699717,0.068303230319565,-1.29412274764928,1.00965022669329,0.175083238357372,16,0.2507,0.264633333333333
0,1,78,-0.587364778426399,0.0651118573770102,-0.197703882203518,0.98738180107824,0.357005792182952,13,0.2224,0.260316666666667
0,1,136,-1.386540683535,0.0269310920065162,0.335253509386383,0.760804084323638,0.843520162777632,14,0.215,0.27445
0,1,163,-0.55274840125243,0.066340002530415,-2.65112708815069,0.960128090837435,0.0843833132681977,13,0.2295,0.2598
0,1,16,-1.07641687289609,0.080507448524097,2.44267469375696,0.725666812624606,0.94643622348903,14,0.264,0.19855
0,1,251,-0.994234669336133,0.0857156192465513,1.06946057919055,0.800447511783779,0.636929036731394,1,0.2301,0.281633333333333
0,2,87,-0.997210309948302,0.0952902301704919,2.03602893138101,0.457059979312288,0.611577974076851,16,0.2324,0.273133333333333
0,2,120,-0.831604402202699,0.0878325846959226,-1.32033614873623,0.345575744000144,0.654523016927285,13,0.2259,0.273683333333333
0,2,47,-0.0151944893457836,0.0285208449859893,0.705354212032189,1.09531537865832,0.6363407631595,1,0.2277,0.269483333333333
0,2,97,-1.83886320802336,0.0657119158786501,2.41330415305256,0.612274101079982,0.817185199647957,6,0.2598,0.202933333333333
0,2,254,-1.11038779431803,0.0916623499287566,0.11854569163192,0.821406514608511,0.699518463753993,5,0.2142,0.25755
0,2,21,-0.864010125525619,0.0461923671673613,2.84135805489215,1.03726467942759,0.020784379328136,5,0.4606,0
0,2,138,-0.779561988925065,0.0242456214288064,2.20096003418912,0.667047993702397,0.114256449927084,7,0.4606,0
0,2,136,-0.781452631347062,0.0725354643254984,1.40959404941967,0.919970435830242,0.476837777049221,11,0.2174,0.277066666666667
